Code,Last,Change,Change(%),GridFluctRatio,Freq,Volume,Value,Frg Buy,Frg Sell,Net Buy
GOTO,50,Unchnaged,0,0,"1,415","199,284","996,420","39,182,257","1,992,580","37,189,677"
DMAS,155,Rise,1,0.64,"2,530","580,092","8,981,359","7,759,888","5,272,564","2,487,324"
BIPI,150,Fall,2,1.31,"6,487","1,998,535","30,266,955","42,098,884","40,518,009","1,580,875"
BBKP,53,Unchnaged,0,0,314,"128,144","678,037","2,640,106","1,397,110","1,242,996"
BKSL,63,Fall,1,1.56,"1,179","477,459","3,060,781","10,898,433","9,986,580","911,853"
TINS,"3,660",Fall,90,2.4,"6,421","168,572","62,521,014","3,042,845","2,177,461","865,384"
SRSN,73,Unchnaged,0,0,"2,984","846,044","6,265,329","1,456,524","726,411","730,113"
ZATA,52,Fall,1,1.88,"1,750","469,258","2,436,118","4,732,059","4,058,601","673,458"
ADRO,"2,260",Fall,30,1.31,"3,917","72,276","16,432,427","4,800,510","4,142,262","658,248"
PACK,250,Unchnaged,0,0,"1,833","310,836","7,844,988","6,455,764","5,835,437","620,327"
MDKA,"2,890",Fall,50,1.7,"4,853","169,147","49,475,843","6,054,309","5,448,437","605,872"
MNCN,204,Fall,4,1.92,377,"51,744","1,053,281","1,874,914","1,270,650","604,264"
WIRG,55,Fall,1,1.78,289,"67,519","378,204","2,510,152","1,911,846","598,306"
HUMI,122,Rise,1,0.82,"1,255","199,186","2,427,300","2,975,303","2,395,042","580,261"
INET,200,Fall,2,0.99,"2,375","278,529","5,649,799","7,203,531","6,658,605","544,926"
GIAA,56,Unchnaged,0,0,587,"132,879","743,315","1,855,886","1,324,862","531,024"
GTSI,134,Fall,2,1.47,709,"74,573","1,015,786","2,499,072","2,037,064","462,008"
ARCI,"1,020",Fall,20,1.92,"1,851","46,842","4,802,820","3,509,660","3,069,703","439,957"
PGEO,895,Fall,15,1.64,981,"75,652","6,835,298","1,597,032","1,209,038","387,994"
HMSP,655,Fall,5,0.75,"1,064","83,570","5,459,759","1,260,220","872,908","387,312"
MARK,940,Rise,20,2.17,"2,229","182,638","17,062,412","1,200,645","820,772","379,873"
PADI,70,Unchnaged,0,0,"8,784","516,865","3,669,838","8,814,430","8,435,298","379,132"
TRUE,57,Fall,1,1.72,"2,250","583,622","3,416,033","3,850,908","3,486,503","364,405"
CYBR,660,Rise,5,0.76,"5,122","226,467","14,963,837","735,989","379,885","356,104"
SUPA,580,Fall,10,1.69,"1,556","79,292","4,613,354","2,633,165","2,323,924","309,241"
ELTY,24,Unchnaged,0,0,712,"370,260","895,817","306,328",7,"306,321"
PBRX,28,Rise,1,3.7,98,"14,921","40,542","305,305",0,"305,305"
BULL,376,Fall,8,2.08,"5,237","596,568","22,760,060","11,901,497","11,638,431","263,066"
DEWI,118,Fall,5,4.06,"2,274","339,083","4,063,665","1,050,440","790,572","259,868"
LAPD,61,Fall,2,3.17,539,"59,639","365,511","704,501","448,198","256,303"
ASHA,55,Fall,1,1.78,438,"41,196","228,785","983,277","732,346","250,931"
GULA,610,Rise,5,0.82,"1,930","217,296","12,979,909","1,724,276","1,473,378","250,898"
IPTV,39,Rise,2,5.4,112,"17,481","67,899","260,600","10,696","249,904"
